sku,name,price
324771,Sérum La Roche Posay Pure Vitamin C 1030 Ml,$2.793
694000,Antitranspirante En Barra Rexona Femenino Active Emotion 50 G 2 Unidades,$275
785395,Suavizante Comfort Concentrado Cuidado Intensivo Fiber 1 L,$233
826508,Acondicionador Tresemmé Cauterización Reparadora 500 Ml,$290
294485,Shampoo Head & Shoulders Protección Caída 375 Ml + Shampoo 180 Ml,$347
601891,Máscara De Pestañas New Color Waterpoof Intense Volumen,$206
74166,Oleo Biferdil Argán 30 Ml,$326
887799,Crema Vichy Mineral 89 Light 50 Ml,$2.300
881379,Corrector Maybelline Superstay Active Wear 30 H N°22,$655
81244,Agua Micelar Garnier Skin Active Todo En 1 400 Ml,$397
552871,Cápsulas Elvive Reparación Total 5 3 Unidades,$390
874670,Perfume Antonio Banderas The Icon Femme Edp 50 Ml,$1.453
878278,Crema Contorno De Ojos Dermaglós Volumen + Estructura 15 G,$1.650
875670,Pack Nivea Face Q10 Día + Body Lotion 400 Ml,$1.075
873970,Perfume Benetton Sisterl Yell Peony Edt 80 Ml,$1.730
10821,Shampoo Dercos Energizante 200 Ml,$928
854617,Jabón Líquido Natura Siberica De Manos Hidratante 500 Ml,$679
831011,Porta Bebé Bebédue Mio Galaxy Black,$2.698
660643,Masajeador Facial Allied Al-mf1502,$963
854813,Exfoliante Natura Siberica Facial 150 Ml,$895
853718,Delineador De Cejas Maybelline Tattoo Grey Brown,$622
854015,Cubre Ojeras Líquido Wet N Wild N°843b Peach,$419
660668,Planchita Punktal Pk-325bw Tourmalina,$1.520
830916,Saco Bebédue Cadi Beige,$2.850
660880,Mixer Vertical Punktal Pk-939 250w,$988
660813,Licuadora Punktal Pk-li287 520w,$1.520
853213,Pistola Masajeadora De Persecusión Homedics Therapy,$3.564
660669,Cepillo Alisador Punktal Pk-nv4916,$950
660674,Recortador De Pelo Y Barba Punktal Pk-hse2115 7 En 1,$1.482
660665,Secador De Pelo Punktal Pk-2200ion 2200w,$1.368
