874168,$1.889,$945
356915,$412,$825
831408,$2.359,$1.180
805367,$1.339,$670
79973,$1.049,$525
830207,$1.389,$695
795936,$1.469,$735
51821,$829,$415
79974,$1.049,$525
876070,$3.190,$2.552
292177,$499,$250
70219,$669,$335
90167,$539,$270
434664,$1.385,$1.108
42644,$1.305,$1.175
805470,$1.339,$670
876071,$3.490,$2.792
785295,$1.519,$760
596135,$1.889,$945
876072,$5.490,$4.392
25545,$618,$648
30223,$1.447,$1.607
69197,$813,$903
82625,$807,$896
19351,$216,$240
54234,$693,$769
43615,$580,$644
601376,$1.281,$1.423
48705,$797,$885
48882,$742,$824
69501,$742,$824
57474,$684,$760
640930,$780,$866
26203,$755,$838
36930,$610,$677
80843,$639,$709
773333,$734,$815
12673,$823,$914
69552,$346,$384
48885,$1.568,$1.742
52845,$564,$626
64721,$1.758,$1.953
84623,$585,$649
22699,$727,$807
48706,$728,$808
38751,$727,$807
48707,$728,$808
27882,$779,$865
51437,$653,$725
773432,$763,$847
44254,$621,$689
19969,$346,$384
48537,$770,$855
64891,$746,$828
52938,$657,$729
52825,$279,$309
761413,$724,$804
84627,$779,$865
74701,$783,$870
661853,$585,$649
324470,$1.945,$2.161
516726,$446,$495
54114,$444,$462
870061,$500,$520
312740,$1.122,$1.150
53374,$404,$551
38750,$307,$341
47722,$335,$372
25032,$1.980,$2.029
54095,$448,$467
23456,$292,$305
23492,$1.195,$1.221
21483,$267,$277
44144,$362,$376
19970,$804,$825
32615,$341,$349
54081,$417,$433
19656,$147,$153
10287,$333,$345
846020,$576,$640
860522,$711,$790
798951,$680,$800
829407,$828,$920
284367,$332,$390
52046,$238,$280
829126,$648,$720
49871,$757,$890
829123,$576,$640
603311,$744,$875
799759,$672,$671
45170,$587,$690
284269,$332,$390
39669,$680,$800
89257,$969,$1.140
603300,$744,$875
600466,$626,$695
619378,$511,$567
772435,$1.389,$1.543
44374,$425,$472
516825,$113,$125
647439,$526,$584
618671,$1.460,$1.622
66018,$1.334,$1.482
45596,$425,$472
67961,$190,$211
759210,$571,$634
84644,$246,$273
647337,$712,$791
617360,$879,$976
44787,$735,$816
726657,$406,$451
64635,$511,$567
490958,$720,$799
639929,$276,$306
71926,$1.559,$1.732
856415,$717,$796
704823,$514,$571
600769,$1.613,$1.792
639828,$218,$242
668268,$811,$901
81433,$951,$1.056
829116,$146,$162
44781,$879,$976
79245,$1.292,$1.320
502396,$485,$570
44782,$879,$976
90642,$510,$600
576263,$653,$725
600766,$1.613,$1.792
662460,$1.170,$1.300
311049,$213,$250
284270,$162,$190
43755,$160,$177
84642,$401,$445
84645,$97,$107
639829,$326,$362
516826,$224,$248
639728,$414,$460
72160,$245,$272
90657,$268,$297
770928,$1.347,$1.496
81432,$951,$1.056
374020,$1.577,$1.752
618670,$1.460,$1.622
668168,$811,$901
45597,$425,$472
661753,$585,$649
50747,$434,$482
612130,$565,$627
324472,$1.945,$2.161
647438,$712,$791
71924,$1.559,$1.732
600768,$1.613,$1.792
324466,$1.945,$2.161
726562,$406,$451
9618670,$1.460,$1.622
66019,$1.334,$1.482
551042,$459,$509
44785,$735,$816
536634,$617,$685
314147,$1.438,$1.597
64636,$511,$567
668169,$811,$901
704723,$594,$660
730854,$783,$870
730755,$486,$540
56541,$421,$495
799864,$421,$495
799863,$421,$495
310334,$1.251,$1.390
662258,$747,$830
850522,$595,$700
81199,$740,$870
801362,$663,$780
85466,$567,$630
553251,$1.150,$1.210
780456,$636,$690
733356,$1.500,$1.570
85069,$663,$780
72162,$213,$250
72161,$213,$250
555365,$323,$380
801361,$663,$780
555465,$323,$380
283867,$255,$300
603292,$757,$890
603295,$757,$890
284167,$255,$300
284070,$162,$190
284368,$162,$190
850521,$595,$700
482841,$485,$570
283967,$162,$190
90668,$510,$600
799862,$485,$570
90605,$485,$570
498706,$485,$570
603605,$801,$890
576066,$208,$114
46159,$531,$530
856916,$2.530,$2.024
731154,$527,$585
686486,$1.119,$560
330399,$92,$79
76782,$84,$68
603606,$567,$630
603609,$747,$830
85473,$981,$1.090
86878,$801,$890
603608,$891,$990
85440,$770,$855
86893,$756,$840
86890,$891,$990
274448,$801,$890
293997,$270,$299
293998,$711,$790
293999,$711,$790
287780,$825,$299
856918,$1.950,$1.560
733056,$1.500,$1.570
732958,$1.500,$1.570
732957,$1.500,$1.570
733657,$2.120,$2.230
733057,$1.500,$1.570
733256,$1.500,$1.570
733257,$1.500,$1.570
733156,$2.120,$2.230
733960,$660,$690
733964,$636,$690
733961,$660,$690
734061,$660,$690
734063,$660,$690
74406,$1.150,$1.210
734259,$660,$690
74410,$1.649,$1.750
734360,$660,$690
734258,$660,$690
74407,$1.690,$1.880
74416,$1.150,$1.210
74415,$1.480,$1.570
74402,$1.410,$1.570
74443,$1.150,$1.210
74447,$1.140,$1.210
85925,$1.150,$1.210
85924,$1.480,$1.570
263734,$1.150,$1.210
316652,$1.690,$1.880
780257,$1.330,$1.410
264034,$1.480,$1.570
263735,$1.690,$1.880
